TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Turismo,Voos,qt1,Qual é a quantidade de embarques e desembarques de voos dométiscos em Salvador?,qt1.csv,codigo_v00.R,https://drive.google.com/drive/u/2/folders/1AgObP4CETbwswb9b-I3aX-CjQTsx18m7,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_voos,,anual,barra lado a lado,Embarques e desembarques de voos domésticos em Salvador
Turismo,Voos,qt2,Qual é a quantidade de embarques e desembarques de voos internacionais em Salvador?,qt2.csv,codigo_v01.R,https://drive.google.com/drive/u/2/folders/1AgObP4CETbwswb9b-I3aX-CjQTsx18m8,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_voos,,anual,barra lado a lado,Embarques e desembarques de voos internacionais em Salvador
Turismo,Voos,qt3,Qual é a quantidade total de embarques e desembarques de voos em Salvador?,qt3.csv,codigo_v02.R,https://drive.google.com/drive/u/2/folders/1AgObP4CETbwswb9b-I3aX-CjQTsx18m9,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_voos,,anual,barra lado a lado,Total de embarques e desembarques de voos em Salvador
,,,,,,,,,,,,
Turismo,Hospedagem,qt4,Qual é o valor médio da diária dos hotéis em Salvador?,qt4.csv,codigo_v00.R,https://abihbahia.org.br/storage/estatisticas/estatisticas-release-desempenho-da-hotelaria-de-salvador-ba-outubro-de-2021-471e183d6cc096317db607b27195dcfd-2021-11-19.pdf,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_hoteis,,anual,barra,Diária média dos hotéis em Salvador
Turismo,Hospedagem,qt5,Qual é a porcentagem média de ocupação nos hotéis de Salvador?,qt5.cvs,codigo_v01.R,https://abihbahia.org.br/storage/estatisticas/estatisticas-release-desempenho-da-hotelaria-de-salvador-ba-outubro-de-2021-471e183d6cc096317db607b27195dcfd-2021-11-19.pdf,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_hoteis,,anual,barra,Porcentagem média de ocupação nos hotéis de Salvador
Turismo,Hospedagem,qt6,Qual é a média mensal do lucro por quarto de hotel (RevPAR) dos hotéis de Salvador?,qt6.cvs,codigo_v02.R,https://abihbahia.org.br/storage/estatisticas/estatisticas-release-desempenho-da-hotelaria-de-salvador-ba-outubro-de-2021-471e183d6cc096317db607b27195dcfd-2021-11-19.pdf,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_hoteis,,anual,barra,Média mensal do lucro por quarto de hotel (RevPAR) dos hotéis de Salvador
,,,,,,,,,,,,
Turismo,Ocupação Formal,qt1,Qual é a quantidade de empregados com carteira assinada no setor de turismo por ano em Salvador?,qt1.csv,codigo_v00.R,https://paineis.turismo.gov.br/extensions/observatorio/ocupacoes.html,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_ocupformal,,anual,barra,Número de empregados com carteira assinada no setor de turismo por ano em Salvador
Turismo,Ocupação Formal,qt2,Qual é a quantidade de empregados com carteira assinada no setor de turismo por atividade em Salvador?,qt2.csv,codigo_v01.R,https://paineis.turismo.gov.br/extensions/observatorio/ocupacoes.html,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_ocupformal,,anual,barra,Número de empregados com carteira assinada no setor de turismo por atividade em Salvador
Turismo,Ocupação Formal,qt3,Qual é a remuneração média no setor de turismo em Salvador por ano?,qt3.csv,codigo_v02.R,https://paineis.turismo.gov.br/extensions/observatorio/ocupacoes.html,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_ocupformal,,anual,barra,Remuneração média no setor de turismo em Salvador por ano
Turismo,Ocupação Formal,qt4,Qual é a remuneração média no setor de turismo em Salvador por atividade?,qt4.csv,codigo_v03.R,https://paineis.turismo.gov.br/extensions/observatorio/ocupacoes.html,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_ocupformal,,anual,barra,Remuneração média no setor de turismo em Salvador por atividade
,,,,,,,,,,,,
Turismo,Transportes Turísticos,qt1,Qual é o número de pessoas beneficiadas pelo Elevador Lacerda em Salvador?,qt1.csv,codigo_v00.R,http://www.observatorioturismo.salvador.ba.gov.br/index.php,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_transportesturisticos,,anual,barra lado a lado,Número de pessoas beneficiadas pelo Elevador Lacerda em Salvador
Turismo,Transportes Turísticos,qt2,Qual é o número de pessoas beneficiadas pelo cruzeiro marítimo em Salvador?,qt2.csv,codigo_v01.R,http://www.observatorioturismo.salvador.ba.gov.br/index.php,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_transportesturisticos,,anual,barra lado a lado,Número de pessoas beneficiadas pelo cruzeiro marítimo em Salvador
Turismo,Transportes Turísticos,qt3,Qual é o número total de pessoas beneficiadas pelo elevador lacerda e o cruzeiro marítimo em Salvador?,qt3.csv,codigo_v02.R,http://www.observatorioturismo.salvador.ba.gov.br/index.php,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_turismo_transportesturisticos,,anual,barra lado a lado,Número total de pessoas beneficiadas pelo elevador lacerda e o cruzeiro marítimo em Salvador
